year,school,total_applied,total_accepted,uw_gpa_avg,sat_25,sat_avg,sat_75,act_25,act_avg,act_75,sat_math_25,sat_math_75,sat_english_25,sat_english_75,act_math_25,act_math_75,act_english_25,act_english_75,uw_gpa_400,uw_gpa_375_399,uw_gpa_350_374,uw_gpa_325_349,uw_gpa_300_324,uw_gpa_100_299
2019,UCLA,108831,13432,3.9,1290.0,,1510.0,27.0,,34.0,640.0,790.0,640.0,740.0,26.0,34.0,27.0,35.0,47.7,41.2,7.2,2.7,0.9,0.5
2020,UCLA,108877,15602,3.9,1290.0,,1510.0,29.0,,34.0,640.0,780.0,650.0,740.0,27.0,34.0,,,47.3,42.2,7.2,2.1,0.8,0.4
2021,UCLA,139490,15028,3.92,,,,,,,,,,,,,,,55.4,36.4,5.7,1.7,0.6,0.2
2022,UCLA,149815,12844,3.93,,,,,,,,,,,,,,,59.1,34.0,4.9,1.6,0.3,0.1
2023,UCLA,145910,12737,3.93,,,,,,,,,,,,,,,59.0,34.4,4.5,1.4,0.4,0.3
2024,UCLA,146276,13114,3.93,,,,,,,,,,,,,,,56.31,36.12,5.23,1.65,0.6,0.09
2020,UC Berkeley,87398,14676,3.93,1330.0,1430.0,1520.0,28.0,31.0,34.0,670.0,790.0,640.0,740.0,27.0,35.0,28.0,35.0,37.0,50.0,10.0,2.0,1.0,0.0
2021,UC Berkeley,112846,16410,3.867,,,,,,,,,,,,,,,33.0,50.4,12.9,2.7,0.7,0.3
2022,UC Berkeley,128226,14614,3.9,,,,,,,,,,,,,,,38.8,51.8,8.0,1.0,0.4,0.1
2023,UC Berkeley,125916,14769,3.9,,,,,,,,,,,,,,,38.3,49.8,9.5,1.6,0.5,0.3
2024,UC Berkeley,124245,13714,3.9,,,,,,,,,,,,,,,37.7,51.5,8.6,1.5,0.4,0.3
2019,Harvard,43330,2009,,,,,33.0,,35.0,750.0,800.0,710.0,770.0,31.0,36.0,34.0,36.0,70.55,22.26,4.94,1.67,0.42,0.16
2020,Harvard,40248,2015,,,,,33.0,,35.0,740.0,800.0,720.0,780.0,31.0,35.0,35.0,36.0,75.76,18.02,4.0,1.79,0.32,0.11
2021,Harvard,57786,2318,,,,,33.0,,36.0,750.0,800.0,730.0,780.0,32.0,35.0,35.0,36.0,72.91,20.82,4.18,1.3,0.43,0.36
2022,Harvard,61221,1984,,,,,34.0,35.0,36.0,760.0,800.0,730.0,780.0,32.0,35.0,35.0,36.0,74.3,20.47,4.04,0.51,0.34,0.34
2023,Harvard,56937,1965,,,,,34.0,35.0,36.0,760.0,800.0,740.0,780.0,33.0,36.0,35.0,36.0,74.02,19.67,4.1,1.07,0.82,0.32
2024,Harvard,54008,1970,,,,,34.0,35.0,36.0,770.0,800.0,740.0,780.0,32.0,36.0,35.0,36.0,72.41,22.2,4.11,0.6,0.17,0.51
